class_path,version31cbo,version32cbo,version33cbo,version34cbo,version31lcom,version32lcom,version33lcom,version34lcom
resource_provider.cc,0,1,0,0,0,0,0,0
resource_provider.cc,1,0,0,1,0,0,0,0
resource_provider.cc,1,1,0,1,0,0,0,0
resource_provider.cc,1,0,0,0,0,0,0,0
resource_provider.cc,1,1,0,0,0,0,0,0
thumbnail_database_unittest.cc,0,0,0,0,0,0,0,0
simple_thumbnail_crop.cc,0,0,0,0,0,0,0,0
search_provider_unittest.cc,2,4,6,6,28,41,50,52
usb_context.cc,2,2,2,2,0,0,0,0
find_tab_helper.cc,2,2,2,2,2,2,2,2
scoped_bstr.cc,0,0,0,0,0,0,0,0
callback_internal.cc,0,0,0,0,0,0,0,0
chrome_v8_context_set.cc,1,1,1,1,0,0,0,0
prefetch_browsertest.cc,3,3,3,5,2,2,2,5
history_api.cc,0,0,0,0,0,0,0,0
platform_thread_win.cc,0,0,0,0,0,0,0,0
icu_string_conversions.cc,0,0,0,0,0,0,0,0
resource_util.cc,0,0,0,0,0,0,0,0
url_request_context_getter.cc,2,2,2,2,0,0,0,0
json_parser_unittest.cc,0,0,0,0,0,0,0,0
mock_input_method_manager.cc,0,0,0,0,0,0,0,0
automatic_reboot_manager_unittest.cc,0,0,0,0,0,0,0,0
debugallocation.cc,0,0,0,0,0,0,0,0
tcmalloc.cc,0,0,0,0,0,0,0,0
geolocation_options_handler.cc,0,0,0,0,0,0,0,0
non_frontend_data_type_controller.cc,0,0,0,0,0,0,0,0
pending_task.cc,0,0,0,0,0,0,0,0
external_policy_loader_unittest.cc,0,0,0,0,0,0,0,0
window_properties.cc,0,0,0,0,1,1,1,1
upgrade_test.cc,1,1,1,1,3,3,3,3
memory_history.cc,0,0,0,0,0,0,0,0
frame_rate_counter.cc,0,0,0,0,0,0,0,0
kiosk_mode_settings.cc,0,0,0,0,0,0,0,0
draw_quad_unittest.cc,0,0,0,0,0,0,0,0
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,1,0,1,1,2,1,2
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,1,0,1,1,2,1,2
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
